candidate_id,cluster_id,customer_score,priority_score,product_category,region,purchase_frequency,avg_order_value,days_since_last_purchase,status,created_at
CUST_0086,0,47.66,0.14,Electronics,EU,47,86.38,17,pending_review,2026-03-10T04:02:01.848766
CUST_0027,4,47.16,0.13,Clothing,LATAM,44,99.9,9,pending_review,2026-03-10T04:02:01.835453
CUST_0065,0,45.44,0.13,Sports,US,42,148.44,22,pending_review,2026-03-10T04:02:01.844444
CUST_0021,2,46.33,0.12,Electronics,US,38,432.01,2,pending_review,2026-03-10T04:02:01.834193
CUST_0091,2,47.38,0.12,Sports,APAC,41,492.54,6,pending_review,2026-03-10T04:02:01.849786
CUST_0070,4,43.89,0.12,Electronics,LATAM,44,161.09,51,pending_review,2026-03-10T04:02:01.845511
CUST_0094,2,46.19,0.12,Home,LATAM,45,409.26,37,pending_review,2026-03-10T04:02:01.850385
CUST_0073,0,42.53,0.12,Clothing,LATAM,36,116.64,27,pending_review,2026-03-10T04:02:01.846117
CUST_0035,2,45.33,0.12,Home,LATAM,47,321.99,54,pending_review,2026-03-10T04:02:01.837865
CUST_0090,3,45.0,0.12,Sports,EU,45,261.64,46,pending_review,2026-03-10T04:02:01.849583
CUST_0020,0,38.53,0.11,Electronics,EU,30,487.27,60,pending_review,2026-03-10T04:02:01.833994
CUST_0082,4,38.94,0.11,Clothing,US,21,288.92,4,pending_review,2026-03-10T04:02:01.847950
CUST_0056,1,43.84,0.11,Home,LATAM,47,208.66,68,pending_review,2026-03-10T04:02:01.842440
CUST_0029,2,41.89,0.11,Sports,LATAM,49,140.77,99,pending_review,2026-03-10T04:02:01.836050
CUST_0019,4,39.06,0.11,Electronics,EU,44,222.32,112,pending_review,2026-03-10T04:02:01.833799
CUST_0060,4,34.11,0.1,Home,APAC,36,268.17,135,pending_review,2026-03-10T04:02:01.843399
CUST_0054,4,34.73,0.1,Electronics,EU,44,341.46,169,pending_review,2026-03-10T04:02:01.841888
CUST_0036,3,38.62,0.1,Electronics,US,44,292.93,120,pending_review,2026-03-10T04:02:01.838090
CUST_0083,0,34.28,0.1,Clothing,EU,16,251.5,35,pending_review,2026-03-10T04:02:01.848151
CUST_0052,0,36.78,0.1,Home,LATAM,47,458.07,163,pending_review,2026-03-10T04:02:01.841376
CUST_0085,0,34.12,0.1,Clothing,US,18,316.71,49,pending_review,2026-03-10T04:02:01.848565
CUST_0092,4,34.15,0.1,Sports,US,29,229.47,99,pending_review,2026-03-10T04:02:01.849985
CUST_0006,3,36.05,0.09,Electronics,EU,39,322.68,128,pending_review,2026-03-10T04:02:01.831090
CUST_0007,1,35.8,0.09,Books,EU,19,466.84,39,pending_review,2026-03-10T04:02:01.831301
CUST_0030,0,30.08,0.09,Home,APAC,27,453.09,147,pending_review,2026-03-10T04:02:01.836442
CUST_0024,0,32.19,0.09,Clothing,EU,33,165.23,140,pending_review,2026-03-10T04:02:01.834850
CUST_0099,4,32.38,0.09,Sports,APAC,24,196.68,95,pending_review,2026-03-10T04:02:01.851409
CUST_0084,3,33.12,0.09,Electronics,LATAM,45,298.8,192,pending_review,2026-03-10T04:02:01.848350
CUST_0068,3,34.31,0.09,Clothing,EU,18,79.2,38,pending_review,2026-03-10T04:02:01.845105
CUST_0081,2,34.99,0.09,Electronics,APAC,40,356.32,147,pending_review,2026-03-10T04:02:01.847751
CUST_0038,3,36.69,0.09,Books,US,37,474.28,116,pending_review,2026-03-10T04:02:01.838541
CUST_0033,4,26.72,0.08,Home,APAC,16,362.98,131,pending_review,2026-03-10T04:02:01.837211
CUST_0014,1,32.52,0.08,Clothing,LATAM,24,350.98,99,pending_review,2026-03-10T04:02:01.832762
CUST_0026,0,26.76,0.08,Books,US,22,369.8,160,pending_review,2026-03-10T04:02:01.835248
CUST_0025,3,31.96,0.08,Clothing,EU,12,68.2,37,pending_review,2026-03-10T04:02:01.835048
CUST_0001,3,30.06,0.08,Home,LATAM,29,182.07,147,pending_review,2026-03-10T04:02:01.829967
CUST_0067,1,29.31,0.08,Home,LATAM,29,231.73,158,pending_review,2026-03-10T04:02:01.844872
CUST_0045,3,31.56,0.08,Sports,EU,25,255.44,112,pending_review,2026-03-10T04:02:01.839934
CUST_0046,0,27.91,0.08,Clothing,US,14,148.3,99,pending_review,2026-03-10T04:02:01.840129
CUST_0040,2,30.2,0.08,Clothing,LATAM,21,362.65,113,pending_review,2026-03-10T04:02:01.838940
CUST_0012,2,32.27,0.08,Books,EU,36,92.93,151,pending_review,2026-03-10T04:02:01.832357
CUST_0061,2,31.06,0.08,Sports,APAC,40,361.6,195,pending_review,2026-03-10T04:02:01.843603
CUST_0034,0,23.84,0.07,Sports,EU,15,112.7,152,pending_review,2026-03-10T04:02:01.837528
CUST_0002,0,24.0,0.07,Electronics,US,15,56.34,148,pending_review,2026-03-10T04:02:01.830202
CUST_0077,1,28.73,0.07,Sports,US,15,234.97,97,pending_review,2026-03-10T04:02:01.846940
CUST_0089,3,28.25,0.07,Electronics,EU,25,411.41,158,pending_review,2026-03-10T04:02:01.849382
CUST_0071,4,22.99,0.07,Books,US,34,363.34,264,pending_review,2026-03-10T04:02:01.845714
CUST_0076,1,27.16,0.07,Clothing,EU,48,489.48,286,pending_review,2026-03-10T04:02:01.846734
CUST_0063,1,28.57,0.07,Books,LATAM,2,159.86,33,pending_review,2026-03-10T04:02:01.844007
CUST_0039,3,27.59,0.07,Home,US,7,319.49,75,pending_review,2026-03-10T04:02:01.838743
CUST_0041,1,26.39,0.07,Clothing,LATAM,9,446.21,104,pending_review,2026-03-10T04:02:01.839141
CUST_0087,4,26.11,0.07,Sports,EU,24,216.34,172,pending_review,2026-03-10T04:02:01.848966
CUST_0010,2,25.09,0.06,Clothing,LATAM,11,432.52,129,pending_review,2026-03-10T04:02:01.831930
CUST_0031,3,22.61,0.06,Clothing,EU,42,263.92,304,pending_review,2026-03-10T04:02:01.836706
CUST_0047,3,21.74,0.06,Clothing,LATAM,9,237.43,153,pending_review,2026-03-10T04:02:01.840322
CUST_0088,3,22.79,0.06,Sports,EU,26,158.97,220,pending_review,2026-03-10T04:02:01.849181
CUST_0069,0,21.99,0.06,Books,APAC,26,164.26,230,pending_review,2026-03-10T04:02:01.845310
CUST_0062,2,21.59,0.06,Home,US,4,171.24,128,pending_review,2026-03-10T04:02:01.843804
CUST_0050,3,22.37,0.06,Clothing,APAC,20,104.94,194,pending_review,2026-03-10T04:02:01.840934
CUST_0032,3,25.01,0.06,Electronics,EU,28,303.47,208,pending_review,2026-03-10T04:02:01.836915
CUST_0028,2,21.59,0.06,Electronics,EU,25,247.7,233,pending_review,2026-03-10T04:02:01.835739
CUST_0013,3,22.16,0.06,Clothing,EU,40,216.87,298,pending_review,2026-03-10T04:02:01.832562
CUST_0017,3,19.49,0.05,Clothing,LATAM,2,173.62,144,pending_review,2026-03-10T04:02:01.833390
CUST_0003,4,18.69,0.05,Home,APAC,43,139.48,352,pending_review,2026-03-10T04:02:01.830441
CUST_0000,4,17.84,0.05,Books,EU,39,227.7,346,pending_review,2026-03-10T04:02:01.829576
CUST_0016,4,19.04,0.05,Clothing,APAC,22,316.08,252,pending_review,2026-03-10T04:02:01.833192
CUST_0004,4,17.95,0.05,Sports,US,8,370.1,199,pending_review,2026-03-10T04:02:01.830661
CUST_0023,0,17.99,0.05,Sports,EU,21,156.19,254,pending_review,2026-03-10T04:02:01.834646
CUST_0098,2,20.03,0.05,Electronics,US,9,436.26,181,pending_review,2026-03-10T04:02:01.851208
CUST_0093,3,18.1,0.05,Books,APAC,15,417.39,233,pending_review,2026-03-10T04:02:01.850184
CUST_0075,2,20.14,0.05,Sports,EU,31,170.05,277,pending_review,2026-03-10T04:02:01.846534
CUST_0042,4,18.65,0.05,Books,LATAM,39,330.96,340,pending_review,2026-03-10T04:02:01.839341
CUST_0053,4,16.22,0.05,Sports,LATAM,7,172.46,208,pending_review,2026-03-10T04:02:01.841653
