queue_position,candidate_id,priority_score,cluster_id,product_category,status,assigned_reviewer,review_completion_time,reviewer_decision,queued_at
1,CUST_0086,0.14,0,Electronics,pending,,,,2026-03-10T04:02:01.864922
2,CUST_0027,0.13,4,Clothing,pending,,,,2026-03-10T04:02:01.864992
3,CUST_0065,0.13,0,Sports,pending,,,,2026-03-10T04:02:01.865046
4,CUST_0021,0.12,2,Electronics,pending,,,,2026-03-10T04:02:01.865113
5,CUST_0091,0.12,2,Sports,pending,,,,2026-03-10T04:02:01.865163
6,CUST_0070,0.12,4,Electronics,pending,,,,2026-03-10T04:02:01.865210
7,CUST_0094,0.12,2,Home,pending,,,,2026-03-10T04:02:01.865256
8,CUST_0073,0.12,0,Clothing,pending,,,,2026-03-10T04:02:01.865302
9,CUST_0035,0.12,2,Home,pending,,,,2026-03-10T04:02:01.865346
10,CUST_0090,0.12,3,Sports,pending,,,,2026-03-10T04:02:01.865391
11,CUST_0020,0.11,0,Electronics,pending,,,,2026-03-10T04:02:01.865435
12,CUST_0082,0.11,4,Clothing,pending,,,,2026-03-10T04:02:01.865478
13,CUST_0056,0.11,1,Home,pending,,,,2026-03-10T04:02:01.865521
14,CUST_0029,0.11,2,Sports,pending,,,,2026-03-10T04:02:01.865565
15,CUST_0019,0.11,4,Electronics,pending,,,,2026-03-10T04:02:01.865609
16,CUST_0060,0.1,4,Home,pending,,,,2026-03-10T04:02:01.865652
17,CUST_0054,0.1,4,Electronics,pending,,,,2026-03-10T04:02:01.865705
18,CUST_0036,0.1,3,Electronics,pending,,,,2026-03-10T04:02:01.865748
19,CUST_0083,0.1,0,Clothing,pending,,,,2026-03-10T04:02:01.865792
20,CUST_0052,0.1,0,Home,pending,,,,2026-03-10T04:02:01.865836
21,CUST_0085,0.1,0,Clothing,pending,,,,2026-03-10T04:02:01.865879
22,CUST_0092,0.1,4,Sports,pending,,,,2026-03-10T04:02:01.865921
23,CUST_0006,0.09,3,Electronics,pending,,,,2026-03-10T04:02:01.865964
24,CUST_0007,0.09,1,Books,pending,,,,2026-03-10T04:02:01.866007
25,CUST_0030,0.09,0,Home,pending,,,,2026-03-10T04:02:01.866050
26,CUST_0024,0.09,0,Clothing,pending,,,,2026-03-10T04:02:01.866093
27,CUST_0099,0.09,4,Sports,pending,,,,2026-03-10T04:02:01.866137
28,CUST_0084,0.09,3,Electronics,pending,,,,2026-03-10T04:02:01.866180
29,CUST_0068,0.09,3,Clothing,pending,,,,2026-03-10T04:02:01.866222
30,CUST_0081,0.09,2,Electronics,pending,,,,2026-03-10T04:02:01.866264
